930830	1000.00	1000.00
940302	1125.55	2814.23	MCOM	AMH	SPCO	LCE	SHRP	CAVR	MDC	USG	BS	INGR
940303	1126.50	2824.77	AMH	ADBE	IDTI	TSNG	AAPL	LEVL	KHGI	MDC	USG	ASTA
940304	1133.35	2844.68	LEVL	TSNG	KHGI	MDC	KOL	SDSK	COSFF	INGR	CHPS	ZCAD
940307	1139.20	2831.31	DATX	ZCAD	CAVR	QCOM	TSNG	SDSK	MDC	KOL	SHRP	INGR
940308	1136.95	2853.87	NCDI	ZCAD	XICO	QCOM	SDSK	MDC	FHPC	KOL	SHRP	PMS
940309	1143.20	2938.68	LCE	NCDI	ALTR	XICO	QCOM	ASTA	USRX	WDC	BROD	IDTI
940310	1140.78	2935.23	CN	LCE	NCDI	ALTR	USS	ADPT	CAVR	USRX	LTD	TLAB
940311	1141.25	2931.89	LCE	NCDI	USS	ADPT	KLU	TLAB	LTD	THDO	SNDT	MCOM
940314	1141.27	2927.50	LCE	NCDI	USS	ADPT	KLU	TLAB	DATX	BJICA	LTD	SYBS
940315	1142.07	2929.68	LCE	NCDI	USS	CN	ADPT	KLU	TLAB	RN	MNTR	AMH
940316	1156.72	3000.49	LCE	KLU	GENZ	WDC	RN	DTC	NETM	BERT	SK	FED
940317	1159.45	3007.08	LCE	MXTR	INMT	KOSS	GENZ	CNR	RN	PTON	DTC	CLIX
940318	1165.15	3026.00	SPCL	MXTR	KOSS	AAPL	KHGI	BTRE	ROC	STA	FED	SK
940321	1158.90	3048.62	KOSS	CLIX	AAPL	CVN	KHGI	USRX	LEVL	DIGI	SNDT	AMGN
940322	1159.92	3059.95	INTS	AAPL	KHGI	SHRP	WDC	USRX	INAI	DIGI	PMS	SCIS
940323	1164.61	3106.93	XICO	MADGF	ELXS	DIGI	KOPN	NETM	VTSS	CMGI	AMGN	BIRD
940324	1149.91	3021.57	XICO	SHRP	MADGF	ASTA	KLY	BTRE	SCIS	SYBS	SPCL	AALR
940325	1139.56	2948.55	ASTA	KLY	SCIS	SUNW	SYBS	DTC	PCL	CMGI	MOT	TXN
940328	1127.43	2915.23	SDSK	ASTA	CAVR	MEGT	KLY	KNCI	WDC	KPCI	INAI	NCDI
940329	1103.47	2879.77	SDSK	ADBE	ASTA	KLY	AVID	CNR	SVGI	OXHP	SYBS	SUNW
940330	1080.82	2853.42	CVN	MLT	SDSK	ADBE	ASTA	NETM	KLY	NN	XICO	AVID
940331	1080.65	2843.90	KPCI	LEVL	CVN	MLT	GTR	ADBE	INTS	NETM	KLY	NN
940404	1075.32	2829.53	KPCI	CVN	MCOM	GTR	MLT	ADBE	INTS	CAVR	NETM	CLIX
940405	1098.58	2928.27	LCE	MLT	GTR	INTS	FHPC	BROD	HOV	WDC	THDO	VLSI
940406	1097.83	2938.52	MLT	SHRP	HOV	SYBS	XICO	QCOM	LSI	DTC	CC	ROC
940407	1108.09	2983.17	INAI	IDTI	KLAC	LCE	AVID	SVGI	MU	GEN	ADCT	CAL
940408	1098.67	2942.50	QCOM	ALRT	CTMEQ	PTON	RDUS	MEGT	CHPS	BERT	BBN	ELXS
940411	1098.85	2955.22	SPCL	SHRP	QCOM	CTMEQ	ADPT	TWMC	INMT	TUG	SQNT	IDTI
940412	1085.72	2873.05	ALRT	QCOM	USRX	CNR	ELCN	MXTR	YELL	DIGI	ASTA	SYBS
940413	1071.81	2820.08	SPCL	ALRT	MXTR	QCOM	TLAB	LOTS	USRX	ELCN	CSIM	CHIR
940414	1073.45	2855.51	SPCL	REN	ALRT	ZCAD	CSIM	SDSK	XIRC	QCOM	CHPS	RYO
940415	1073.59	2832.50	SPCL	FPNX	BIRD	ZCAD	CSIM	CHPS	REN	INMT	XIRC	BTRE
940418	1060.84	2718.52	SPCL	FPNX	CYRX	ATC	KPCI	BFRS	BIRD	BAY	ZCAD	CSIM
940419	1045.75	2675.39	SPCL	FPNX	ATC	KPCI	LCE	ZCAD	BFRS	CSIM	BAY	CHPS
940420	1031.93	2670.30	SPCL	CN	ATC	KPCI	FPNX	CYRX	MCOM	WDC	CSIM	BBA
940421	1050.99	2698.17	CN	AALR	ATC	KPCI	FPNX	CYRX	WDC	DMIC	SYQT	CHPS
940422	1054.15	2698.17	CN	AALR	ATC	KPCI	FPNX	XICO	CYRX	WDC	DMIC	CHPS
940423	1059.10	2791.72	CN	AALR	ATC	KPCI	FPNX	CYRX	DMIC	CNX	SYQT	BBA
940425	1075.39	2826.95	CN	AALR	ATC	CYRX	CNX	SBUX	CMH	MEGZ	LSI	ELCN
940426	1081.41	2830.15	CN	LCE	AALR	ATC	CYRX	CNX	SHRP	SBUX	MEGZ	PSTA
940428	1080.24	2819.43	CN	LCE	AALR	ATC	CNX	CYRX	SBUX	MEGZ	IDTI	ELCN
940429	1085.98	2806.84	CN	LCE	AALR	ATC	CNX	CYRX	SBUX	CTMEQ	WDC	ELCN
940502	1094.58	2833.03	CN	LCE	AALR	ATC	CNX	CYRX	SBUX	ELCN	SMSC	DATX
940503	1092.08	2812.87	CN	LCE	AALR	ATC	CYRX	CNX	SBUX	ELCN	CHPS	SIGM
940504	1090.89	2830.78	CN	LCE	AALR	ATC	CNX	CYRX	SHRP	BEAM	SBUX	ELCN
940505	1090.79	2840.00	CN	LCE	AALR	ATC	ERTS	CNX	SBUX	TMX	ELCN	CHPS
940506	1087.39	2840.00	CN	LCE	AALR	ATC	BFRS	ERTS	KNCI	CNX	ORCL	SBUX
940509	1074.77	2872.58	CN	LCE	AALR	ATC	BBA	MADGF	BFRS	GEN	CNX	XIRC
940510	1072.62	2793.62	BBA	CN	LCE	AALR	ATC	SHRP	BFRS	MADGF	GEN	CNX
940511	1058.50	2792.11	CN	LCE	AALR	ATC	MCOM	MADGF	RDUS	SCOC	AKLM	GEN
940512	1061.20	2798.83	XICO	CN	LCE	AALR	ATC	DATX	MADGF	RDUS	GEN	CNX
940513	1060.52	2771.92	XICO	CN	LCE	AALR	ATC	VTSS	DATX	MADGF	RDUS	ERTS
940516	1053.27	2775.05	XICO	CN	LCE	AALR	ATC	VTSS	DATX	LE	PMTC	LRCX
940517	1055.84	2776.80	XICO	CN	LCE	AALR	WWTK	ATC	DATX	PMTC	WDC	GEN
940518	1072.36	2847.56	XICO	CN	LCE	AALR	ATC	DATX	MXTR	GEN	MLT	CNX
940519	1082.59	2880.10	XICO	CN	LCE	AALR	ATSW	ATC	DATX	MLT	CNX	ROC
940520	1083.25	2880.10	XICO	CN	LCE	AALR	ATC	DATX	ATSW	CA	PMTC	LRCX
940523	1081.19	2888.07	XICO	CN	LCE	AALR	ATC	DATX	CA	PMTC	MLT	CNX
940524	1088.47	2903.08	GPTA	XICO	CN	LCE	AALR	ATC	DATX	PMTC	MLT	CNX
940525	1090.51	2898.21	XICO	GPTA	CN	LCE	AALR	ATC	DATX	PMTC	MLT	CNX
940526	1089.35	2882.18	XICO	GPTA	CN	LCE	AALR	ATC	DATX	MLT	PMTC	CNX
940527	1089.64	2896.51	XICO	CN	LCE	AALR	ATC	DATX	MLT	CNX	ROC	TWN
940531	1090.90	2896.51	XICO	CN	LCE	CA	AALR	ATC	DATX	BFRS	BAY	MLT
940601	1094.76	2883.27	XICO	CN	LCE	CA	AALR	ATC	DATX	BFRS	BAY	MLT
940602	1095.99	2867.44	XICO	CN	LCE	AALR	ATC	DATX	CREAF	BFRS	BAY	MLT
940603	1097.97	2865.15	XICO	CN	LCE	AALR	ATC	DATX	CREAF	BFRS	MLT	BAY
