930830	1000.00	1000.00
940202	1145.57	1000.85	KLU	KMT	MI	ASTA	CPQ	OXHP	WDC	DMIC	T	ROK
940203	1145.00	997.78	KLU	KMT	MI	ASTA	CPQ	WDC	ROK	USG	CSCO	BS
940204	1115.77	963.47	MI	KMT	CPQ	ASTA	BS	PCL	USG	WDC	C	ROK
940207	1114.70	957.36	CMGI	CPQ	ASTA	KMT	BS	PCL	USG	WDC	C	SIGM
940208	1126.38	975.78	ASTA	CPQ	AMER	WDC	BS	KMT	PCL	USG	C	ROK
940209	1134.22	983.64	ASTA	CPQ	WDC	ROK	USG	KMT	BS	PCL	C	CRW
940210	1127.85	973.17	ASTA	CPQ	ROK	WDC	KMT	BS	USG	PCL	SIGM	C
940211	1129.03	969.49	ASTA	CPQ	WDC	BS	USG	KMT	PCL	MI	CDN	SIGM
940214	1129.35	964.92	CPQ	ASTA	WDC	USG	KMT	MI	PCL	CDN	BS	RBK
940215	1130.49	964.44	CPQ	ASTA	WDC	USG	MI	PCL	KMT	BS	CDN	ROK
940216	1136.71	983.99	CPQ	WDC	ASTA	ROK	USG	KMT	MI	PCL	XRX	LOTS
940217	1131.89	987.70	CPQ	ASTA	ROK	KMT	WDC	LOTS	USG	BS	SDSK	MI
940218	1130.96	985.33	SDSK	CPQ	ASTA	WDC	KMT	LOTS	USG	BS	ROK	PCL
940222	1134.15	1005.58	CPQ	WDC	ASTA	SDSK	LOTS	KMT	TXN	ROK	PCL	USG
940223	1134.53	1003.49	WDC	CPQ	AMER	ASTA	LOTS	KMT	USRX	ROK	PCL	TXN
940224	1120.92	1008.93	AMER	CPQ	WDC	LOTS	ASTA	USRX	ACAD	KMT	PCL	PMS
940225	1123.56	1004.86	AMER	WDC	CPQ	ASTA	LOTS	KMT	USRX	ACAD	PCL	USG
940228	1125.82	1007.62	AMER	WDC	CPQ	ASTA	USRX	LOTS	KMT	PCL	ACAD	TXN
940301	1126.60	1000.30	WDC	CPQ	AMER	LOTS	KMT	USRX	PCL	TXN	ACAD	ASTA
940302	1125.55	999.30	WDC	CPQ	LOTS	ACAD	TXN	AMER	KMT	PCL	ASTA	CNR
940303	1126.50	1011.77	WDC	CPQ	LOTS	ACAD	KMT	TXN	PCL	AMER	CNR	BJICA
940304	1133.35	1005.27	WDC	CPQ	LOTS	TXN	KMT	ACAD	AMER	USRX	PCL	CNR
940307	1139.20	1007.00	WDC	LOTS	CPQ	USRX	KMT	ACAD	TXN	CSCO	PCL	AMER
940308	1136.95	1005.10	WDC	LOTS	KMT	CPQ	ACAD	PCL	AMER	TXN	CSCO	MI
940309	1143.20	1013.33	WDC	LOTS	CPQ	KMT	ACAD	TXN	CSCO	PCL	CNR	PHG
940310	1140.78	1012.79	WDC	KMT	LOTS	CPQ	ACAD	TXN	PCL	CSCO	CNR	AMER
940311	1141.25	1013.15	WDC	KMT	LOTS	CPQ	TXN	ACAD	PCL	CSCO	CNR	USRX
940314	1141.27	1013.84	WDC	KMT	LOTS	CPQ	TXN	ACAD	PCL	CSCO	CNR	PHG
940315	1142.07	1007.83	WDC	KMT	LOTS	CPQ	TXN	PCL	CNR	ACAD	PHG	CSCO
940316	1156.72	1029.15	WDC	KMT	LOTS	CPQ	TXN	PCL	ACAD	PHG	KEA	USG
940317	1159.45	1026.17	WDC	KMT	LOTS	CPQ	SDSK	TXN	PCL	PHG	CSCO	USG
940318	1165.15	1028.66	WDC	KMT	LOTS	CPQ	TXN	BBN	PCL	ACAD	KEA	USG
940321	1158.90	1016.99	WDC	KMT	LOTS	CPQ	SDSK	TXN	BBN	ACAD	CDN	PCL
940322	1159.92	1023.81	WDC	SDSK	LOTS	CPQ	KMT	TXN	BBN	ACAD	RBK	PCL
940323	1164.61	1026.11	WDC	SDSK	LOTS	CPQ	KMT	BBN	TXN	AMER	ACAD	USG
940324	1149.91	1014.95	WDC	SDSK	LOTS	AMER	CPQ	KMT	BBN	ACAD	USG	RBK
940325	1139.56	972.45	WDC	CPQ	LOTS	KMT	AMER	SDSK	BBN	RBK	PHG	ASH
940328	1127.43	957.17	WDC	CPQ	LOTS	KMT	RBK	PHG	BBN	ASH	USG	AMER
940329	1103.47	923.00	WDC	CPQ	LOTS	KMT	RBK	ASH	PHG
940330	1080.82	917.80	WDC	CPQ	LOTS	KMT	RBK
940331	1080.65	917.08	WDC	CPQ	LOTS	KMT	RBK	PHG	ACAD	XRX
940404	1075.32	913.42	WDC	CPQ	LOTS	RBK	KMT	PHG
940405	1098.58	932.14	WDC	CPQ	LOTS	KMT	XRX	PHG	RBK	USG	ACAD
940406	1097.83	942.91	WDC	CPQ	LOTS	KMT	PHG	XRX	RBK	ACAD	DH
940407	1108.09	961.17	WDC	CPQ	LOTS	KMT	PHG	XRX	DH	RBK	SDSK	ACAD
940408	1098.67	945.28	WDC	CPQ	KMT	LOTS	XRX	PHG	ACAD	RBK	KEA	DH
940411	1098.85	944.42	CPQ	WDC	KMT	LOTS	XRX	PHG	ACAD	KEA	RBK	USG
940412	1085.72	929.67	CPQ	WDC	KMT	LOTS	XRX	PHG	KEA	RBK	ACAD
940413	1071.81	903.70	CPQ	WDC	KMT	PHG	XRX	KEA	LOTS	RBK
940414	1073.45	900.89	FPNX	CYRX	CREAF	SYQT	PSTA	BAY	ERTS	TELC	CPQ	WDC
940415	1073.59	916.57	BAY	CREAF	SMSC	ERTS	SYQT	TELC	CYRX	CMH	BFRS	CPQ
940418	1060.84	895.74	CREAF	CMH	SMSC	CPQ	WDC	ERTS	BAY	KMT	PHG	LOTS
940419	1045.75	878.00	BBA	SMSC	CPQ	WDC	LOTS	PHG	XRX
940420	1031.93	859.13	SMSC	CPQ	WDC	PHG	KEA
